date,opponent,goals_for,goals_against,tournament,home
2012-07-01,Spain,0,4,UEFA Euro,False
2012-08-15,England,1,2,Friendly,False
2012-09-07,Bulgaria,2,2,FIFA World Cup qualification,False
2012-09-11,Malta,2,0,FIFA World Cup qualification,True
2012-10-12,Armenia,3,1,FIFA World Cup qualification,False
2012-10-16,Denmark,3,1,FIFA World Cup qualification,True
2012-11-14,France,1,2,Friendly,True
2013-02-06,Netherlands,1,1,Friendly,False
2013-03-21,Brazil,2,2,Friendly,False
2013-03-26,Malta,2,0,FIFA World Cup qualification,False
2013-05-31,San Marino,4,0,Friendly,True
2013-06-07,Czech Republic,0,0,FIFA World Cup qualification,False
2013-06-11,Haiti,2,2,Friendly,False
2013-06-16,Mexico,2,1,Confederations Cup,False
2013-06-19,Japan,4,3,Confederations Cup,False
2013-06-22,Brazil,2,4,Confederations Cup,False
2013-06-27,Spain,0,0,Confederations Cup,False
2013-06-30,Uruguay,2,2,Confederations Cup,False
2013-08-14,Argentina,1,2,Friendly,True
2013-09-06,Bulgaria,1,0,FIFA World Cup qualification,True
2013-09-10,Czech Republic,2,1,FIFA World Cup qualification,True
2013-10-11,Denmark,2,2,FIFA World Cup qualification,False
2013-10-15,Armenia,2,2,FIFA World Cup qualification,True
2013-11-15,Germany,1,1,Friendly,True
2013-11-18,Nigeria,2,2,Friendly,False
2014-03-05,Spain,0,1,Friendly,False
2014-05-31,Republic of Ireland,0,0,Friendly,False
2014-06-04,Luxembourg,1,1,Friendly,True
2014-06-14,England,2,1,FIFA World Cup,False
2014-06-20,Costa Rica,0,1,FIFA World Cup,False
2014-06-24,Uruguay,0,1,FIFA World Cup,False
2014-09-04,Netherlands,2,0,Friendly,True
2014-09-09,Norway,2,0,UEFA Euro qualification,False
2014-10-10,Azerbaijan,2,1,UEFA Euro qualification,True
2014-10-13,Malta,1,0,UEFA Euro qualification,False
2014-11-16,Croatia,1,1,UEFA Euro qualification,True
2014-11-18,Albania,1,0,Friendly,True
2015-03-28,Bulgaria,2,2,UEFA Euro qualification,False
2015-03-31,England,1,1,Friendly,True
2015-06-12,Croatia,1,1,UEFA Euro qualification,False
2015-06-16,Portugal,0,1,Friendly,False
2015-09-03,Malta,1,0,UEFA Euro qualification,True
2015-09-06,Bulgaria,1,0,UEFA Euro qualification,True
2015-10-10,Azerbaijan,3,1,UEFA Euro qualification,False
2015-10-13,Norway,2,1,UEFA Euro qualification,True
2015-11-13,Belgium,1,3,Friendly,False
2015-11-17,Romania,2,2,Friendly,True
2016-03-24,Spain,1,1,Friendly,True
2016-03-29,Germany,1,4,Friendly,False
2016-05-29,Scotland,1,0,Friendly,False
2016-06-06,Finland,2,0,Friendly,True
2016-06-13,Belgium,2,0,UEFA Euro,False
2016-06-17,Sweden,1,0,UEFA Euro,False
2016-06-22,Republic of Ireland,0,1,UEFA Euro,False
2016-06-27,Spain,2,0,UEFA Euro,False
2016-07-02,Germany,1,1,UEFA Euro,False
2016-09-01,France,1,3,Friendly,True
2016-09-05,Israel,3,1,FIFA World Cup qualification,False
2016-10-06,Spain,1,1,FIFA World Cup qualification,True
2016-10-09,North Macedonia,3,2,FIFA World Cup qualification,False
2016-11-12,Liechtenstein,4,0,FIFA World Cup qualification,False
2016-11-15,Germany,0,0,Friendly,True
2017-03-24,Albania,2,0,FIFA World Cup qualification,True
2017-03-28,Netherlands,2,1,Friendly,False
2017-05-31,San Marino,8,0,Friendly,True
2017-06-07,Uruguay,3,0,Friendly,False
2017-06-11,Liechtenstein,5,0,FIFA World Cup qualification,True
2017-09-02,Spain,0,3,FIFA World Cup qualification,False
2017-09-05,Israel,1,0,FIFA World Cup qualification,True
2017-10-06,North Macedonia,1,1,FIFA World Cup qualification,True
2017-10-09,Albania,1,0,FIFA World Cup qualification,False
2017-11-10,Sweden,0,1,FIFA World Cup qualification,False
2017-11-13,Sweden,0,0,FIFA World Cup qualification,True
2018-03-23,Argentina,0,2,Friendly,False
2018-03-27,England,1,1,Friendly,False
2018-05-28,Saudi Arabia,2,1,Friendly,False
2018-06-01,France,1,3,Friendly,False
2018-06-04,Netherlands,1,1,Friendly,True
2018-09-07,Poland,1,1,UEFA Nations League,True
2018-09-10,Portugal,0,1,UEFA Nations League,False
2018-10-10,Ukraine,1,1,Friendly,True
2018-10-14,Poland,1,0,UEFA Nations League,False
2018-11-17,Portugal,0,0,UEFA Nations League,True
2018-11-20,United States,1,0,Friendly,False
2019-03-23,Finland,2,0,UEFA Euro qualification,True
2019-03-26,Liechtenstein,6,0,UEFA Euro qualification,True
2019-06-08,Greece,3,0,UEFA Euro qualification,False
2019-06-11,Bosnia and Herzegovina,2,1,UEFA Euro qualification,True
2019-09-05,Armenia,3,1,UEFA Euro qualification,False
2019-09-08,Finland,2,1,UEFA Euro qualification,False
2019-10-12,Greece,2,0,UEFA Euro qualification,True
2019-10-15,Liechtenstein,5,0,UEFA Euro qualification,False
2019-11-15,Bosnia and Herzegovina,3,0,UEFA Euro qualification,False
2019-11-18,Armenia,9,1,UEFA Euro qualification,True
2020-09-04,Bosnia and Herzegovina,1,1,UEFA Nations League,True
2020-09-07,Netherlands,1,0,UEFA Nations League,False
2020-10-07,Moldova,6,0,Friendly,True
2020-10-11,Poland,0,0,UEFA Nations League,False
2020-10-14,Netherlands,1,1,UEFA Nations League,True
2020-11-11,Estonia,4,0,Friendly,True
2020-11-15,Poland,2,0,UEFA Nations League,True
2020-11-18,Bosnia and Herzegovina,2,0,UEFA Nations League,False
2021-03-25,Northern Ireland,2,0,FIFA World Cup qualification,True
2021-03-28,Bulgaria,2,0,FIFA World Cup qualification,False
2021-03-31,Lithuania,2,0,FIFA World Cup qualification,False
2021-05-28,San Marino,7,0,Friendly,True
2021-06-04,Czech Republic,4,0,Friendly,True
2021-06-11,Turkey,3,0,UEFA Euro,True
2021-06-16,Switzerland,3,0,UEFA Euro,True
2021-06-20,Wales,1,0,UEFA Euro,True
2021-06-26,Austria,2,1,UEFA Euro,False
2021-07-02,Belgium,2,1,UEFA Euro,False
2021-07-06,Spain,1,1,UEFA Euro,False
2021-07-11,England,1,1,UEFA Euro,False
2021-09-02,Bulgaria,1,1,FIFA World Cup qualification,True
2021-09-05,Switzerland,0,0,FIFA World Cup qualification,False
2021-09-08,Lithuania,5,0,FIFA World Cup qualification,True
2021-10-06,Spain,1,2,UEFA Nations League,True
2021-10-10,Belgium,2,1,UEFA Nations League,True
2021-11-12,Switzerland,1,1,FIFA World Cup qualification,True
2021-11-15,Northern Ireland,0,0,FIFA World Cup qualification,False
2022-03-24,North Macedonia,0,1,FIFA World Cup qualification,True
2022-03-29,Turkey,3,2,Friendly,False
2022-06-01,Argentina,0,3,CONMEBOL–UEFA Cup of Champions,False
2022-06-04,Germany,1,1,UEFA Nations League,True
2022-06-07,Hungary,2,1,UEFA Nations League,True
2022-06-11,England,0,0,UEFA Nations League,False
2022-06-14,Germany,2,5,UEFA Nations League,False
2022-09-23,England,1,0,UEFA Nations League,True
2022-09-26,Hungary,2,0,UEFA Nations League,False
2022-11-16,Albania,3,1,Friendly,False
2022-11-20,Austria,0,2,Friendly,False
2023-03-23,England,1,2,UEFA Euro qualification,True
2023-03-26,Malta,2,0,UEFA Euro qualification,False
2023-06-15,Spain,1,2,UEFA Nations League,False
2023-06-18,Netherlands,3,2,UEFA Nations League,False
2023-09-09,North Macedonia,1,1,UEFA Euro qualification,False
2023-09-12,Ukraine,2,1,UEFA Euro qualification,True
2023-10-14,Malta,4,0,UEFA Euro qualification,True
2023-10-17,England,1,3,UEFA Euro qualification,False
2023-11-17,North Macedonia,5,2,UEFA Euro qualification,True
2023-11-20,Ukraine,0,0,UEFA Euro qualification,False
2024-03-21,Venezuela,2,1,Friendly,False
2024-03-24,Ecuador,2,0,Friendly,False
2024-06-04,Turkey,0,0,Friendly,True
2024-06-09,Bosnia and Herzegovina,1,0,Friendly,True
2024-06-15,Albania,2,1,UEFA Euro,False
2024-06-20,Spain,0,1,UEFA Euro,False
2024-06-24,Croatia,1,1,UEFA Euro,False
2024-06-29,Switzerland,0,2,UEFA Euro,False
2024-09-06,France,3,1,UEFA Nations League,False
2024-09-09,Israel,2,1,UEFA Nations League,False
2024-10-10,Belgium,2,2,UEFA Nations League,True
2024-10-14,Israel,4,1,UEFA Nations League,True
2024-11-14,Belgium,1,0,UEFA Nations League,False
2024-11-17,France,1,3,UEFA Nations League,True
2025-03-20,Germany,1,2,UEFA Nations League,True
2025-03-23,Germany,3,3,UEFA Nations League,False
2025-06-06,Norway,0,3,FIFA World Cup qualification,False
